particle,repetition,dist_mm,dist_perc,C0,rpm,time,trans
NC7000,1,117.4781,50,6,300,1661.78,89.00788
NC7000,1,117.4781,50,6,300,1671.7,88.53474
NC7000,1,117.4781,50,6,300,1681.69,88.57511
NC7000,1,117.4781,50,6,300,1691.78,88.62814
NC7000,1,117.4781,50,6,300,1701.72,88.66471
NC7000,1,117.4781,50,6,300,1711.66,88.80034
NC7000,1,117.4781,50,6,300,1721.67,88.89223
NC7000,1,117.4781,50,6,300,1731.65,88.82919
NC7000,1,117.4781,50,6,300,1741.93,88.73318
NC7000,1,117.4781,50,6,300,1751.87,88.10088
NC7000,1,117.4781,50,6,300,1761.93,89.08144
NC7000,1,117.4781,50,6,300,1771.86,88.60892
NC7000,1,117.4781,50,6,300,1781.84,88.40781
NC7000,1,117.4781,50,6,300,1791.79,88.57446
NC7000,1,117.4781,50,6,300,1801.85,88.82032
NC7000,1,117.4781,50,6,300,1811.75,88.71634
NC7000,1,117.4781,50,6,300,1821.79,88.71307
NC7000,1,117.4781,50,6,300,1831.76,88.2579
NC7000,1,117.4781,50,6,300,1841.74,88.3472
NC7000,1,117.4781,50,6,300,1851.71,88.11611
NC7000,1,117.4781,50,6,300,1861.71,88.13593
NC7000,1,117.4781,50,6,300,1871.71,88.29155
NC7000,1,117.4781,50,6,300,1881.7,87.9903
NC7000,1,117.4781,50,6,300,1891.79,88.18674
NC7000,1,117.4781,50,6,300,1901.66,88.06499
NC7000,1,117.4781,50,6,300,1911.71,88.52589
NC7000,1,117.4781,50,6,300,1921.9,89.06266
NC7000,1,117.4781,50,6,300,1931.91,89.00857
NC7000,1,117.4781,50,6,300,1941.82,88.93268
NC7000,1,117.4781,50,6,300,1951.8,88.83669
NC7000,1,117.4781,50,6,300,1961.85,89.01975
NC7000,1,117.4781,50,6,300,1971.79,88.90426
NC7000,1,117.4781,50,6,300,1981.76,88.93066
NC7000,1,117.4781,50,6,300,1991.85,89.127
NC7000,1,117.4781,50,6,300,2001.75,88.96102
NC7000,1,117.4781,50,6,600,1.62,77.38136
NC7000,1,117.4781,50,6,600,11.66,77.46858
NC7000,1,117.4781,50,6,600,21.65,79.28037
NC7000,1,117.4781,50,6,600,31.63,79.54152
NC7000,1,117.4781,50,6,600,41.62,81.16118
NC7000,1,117.4781,50,6,600,51.59,80.73089
NC7000,1,117.4781,50,6,600,61.68,82.82584
NC7000,1,117.4781,50,6,600,71.59,81.78448
NC7000,1,117.4781,50,6,600,81.54,80.82185
NC7000,1,117.4781,50,6,600,91.54,82.73566
NC7000,1,117.4781,50,6,600,101.53,82.67266
NC7000,1,117.4781,50,6,600,111.81,82.34145
NC7000,1,117.4781,50,6,600,121.7,80.91933
NC7000,1,117.4781,50,6,600,131.75,82.2683
NC7000,1,117.4781,50,6,600,141.78,83.10643
NC7000,1,117.4781,50,6,600,151.78,80.94828
NC7000,1,117.4781,50,6,600,161.7,82.65189
NC7000,1,117.4781,50,6,600,171.72,82.6679
NC7000,1,117.4781,50,6,600,181.7,82.55856
NC7000,1,117.4781,50,6,600,191.69,82.99374
NC7000,1,117.4781,50,6,600,201.62,82.83485
NC7000,1,117.4781,50,6,600,211.69,82.67907
NC7000,1,117.4781,50,6,600,221.63,83.70382
NC7000,1,117.4781,50,6,600,231.62,83.5162
NC7000,1,117.4781,50,6,600,241.56,83.86071
NC7000,1,117.4781,50,6,600,251.55,82.62836
NC7000,1,117.4781,50,6,600,261.54,83.05944
NC7000,1,117.4781,50,6,600,271.72,82.64693
NC7000,1,117.4781,50,6,600,281.74,82.84245
NC7000,1,117.4781,50,6,600,291.78,81.64156
NC7000,1,117.4781,50,6,600,301.78,83.27444
NC7000,1,117.4781,50,6,600,311.75,82.95743
NC7000,1,117.4781,50,6,600,321.71,83.88667
NC7000,1,117.4781,50,6,600,331.68,83.98307
NC7000,1,117.4781,50,6,600,341.76,84.5315
NC7000,1,117.4781,50,6,600,351.74,84.7466
