particle,repetition,dist_mm,dist_perc,C0,time,rpm,trans
NC7000,3,117.4781,50,10,1977.26,2500,90.12419
NC7000,3,117.4781,50,10,1982.09,2500,90.18482
NC7000,3,117.4781,50,10,1986.81,2500,90.08272
NC7000,3,117.4781,50,10,1991.71,2500,90.08535
NC7000,3,117.4781,50,10,1996.9,2500,89.92813
NC7000,3,117.4781,50,10,2001.7,2500,90.09483
NC7000,3,117.4781,50,14,2.72,300,17.12789
NC7000,3,117.4781,50,14,6.59,300,16.78754
NC7000,3,117.4781,50,14,10.98,300,17.25094
NC7000,3,117.4781,50,14,16.27,300,18.08241
NC7000,3,117.4781,50,14,20.96,300,17.63951
NC7000,3,117.4781,50,14,26.03,300,17.83555
NC7000,3,117.4781,50,14,31.15,300,18.62336
NC7000,3,117.4781,50,14,35.99,300,18.87947
NC7000,3,117.4781,50,14,40.94,300,17.64109
NC7000,3,117.4781,50,14,46,300,18.73876
NC7000,3,117.4781,50,14,51.25,300,19.12295
NC7000,3,117.4781,50,14,56.1,300,17.07834
NC7000,3,117.4781,50,14,60.98,300,17.84212
NC7000,3,117.4781,50,14,65.91,300,17.43659
NC7000,3,117.4781,50,14,71.09,300,18.80075
NC7000,3,117.4781,50,14,76.11,300,18.7697
NC7000,3,117.4781,50,14,81.1,300,20.75448
NC7000,3,117.4781,50,14,85.94,300,19.05895
NC7000,3,117.4781,50,14,90.9,300,19.80056
NC7000,3,117.4781,50,14,95.89,300,18.39311
NC7000,3,117.4781,50,14,100.92,300,19.95601
NC7000,3,117.4781,50,14,105.92,300,21.00591
NC7000,3,117.4781,50,14,110.89,300,18.15198
NC7000,3,117.4781,50,14,115.91,300,19.62584
NC7000,3,117.4781,50,14,120.96,300,18.95498
NC7000,3,117.4781,50,14,125.9,300,16.92842
NC7000,3,117.4781,50,14,130.9,300,19.82004
NC7000,3,117.4781,50,14,135.86,300,17.79739
NC7000,3,117.4781,50,14,140.93,300,19.1145
NC7000,3,117.4781,50,14,145.86,300,18.77267
NC7000,3,117.4781,50,14,150.88,300,20.89583
NC7000,3,117.4781,50,14,155.85,300,19.86244
NC7000,3,117.4781,50,14,160.89,300,19.20746
NC7000,3,117.4781,50,14,165.87,300,18.3061
NC7000,3,117.4781,50,14,170.84,300,19.04481
NC7000,3,117.4781,50,14,175.83,300,17.93655
NC7000,3,117.4781,50,14,180.85,300,18.51697
NC7000,3,117.4781,50,14,186.06,300,19.80416
NC7000,3,117.4781,50,14,191.07,300,19.29295
NC7000,3,117.4781,50,14,196.02,300,18.85894
NC7000,3,117.4781,50,14,201.06,300,20.12303
NC7000,3,117.4781,50,14,206.05,300,21.44772
NC7000,3,117.4781,50,14,211.06,300,18.31458
NC7000,3,117.4781,50,14,216.06,300,20.79723
NC7000,3,117.4781,50,14,221.02,300,19.56364
NC7000,3,117.4781,50,14,226.02,300,18.52097
NC7000,3,117.4781,50,14,231.04,300,19.5429
NC7000,3,117.4781,50,14,236.02,300,19.11092
